Epoch 1: train_loss: 9391.31; val_loss: 74.0950.
Epoch 2: train_loss: 132.07; val_loss: 62.9360.
Epoch 3: train_loss: 120.67; val_loss: 58.3590.
Epoch 4: train_loss: 113.60; val_loss: 56.0101.
Epoch 5: train_loss: 107.88; val_loss: 53.4198.
Epoch 6: train_loss: 103.24; val_loss: 50.9576.
Epoch 7: train_loss: 99.24; val_loss: 50.0801.
Epoch 8: train_loss: 95.78; val_loss: 47.8329.
Epoch 9: train_loss: 92.82; val_loss: 48.2097.
Epoch 10: train_loss: 90.07; val_loss: 46.1888.
Epoch 11: train_loss: 87.52; val_loss: 44.8830.
Epoch 12: train_loss: 85.27; val_loss: 45.0126.
Epoch 13: train_loss: 82.95; val_loss: 44.0192.
Epoch 14: train_loss: 81.03; val_loss: 44.0356.
Epoch 15: train_loss: 79.28; val_loss: 42.2169.
Epoch 16: train_loss: 77.56; val_loss: 41.7953.
Epoch 17: train_loss: 76.03; val_loss: 41.5843.
Epoch 18: train_loss: 74.27; val_loss: 41.5287.
Epoch 19: train_loss: 72.91; val_loss: 40.5849.
Epoch 20: train_loss: 71.50; val_loss: 40.7348.
Epoch 21: train_loss: 70.16; val_loss: 40.2532.
Epoch 22: train_loss: 68.79; val_loss: 40.3534.
Epoch 23: train_loss: 67.53; val_loss: 39.9640.
Epoch 24: train_loss: 66.25; val_loss: 39.8013.
Epoch 25: train_loss: 65.08; val_loss: 40.5119.
Epoch 26: train_loss: 63.80; val_loss: 40.8193.
Epoch 27: train_loss: 62.61; val_loss: 39.9055.
Epoch 28: train_loss: 61.67; val_loss: 40.2078.
Epoch 29: train_loss: 60.51; val_loss: 39.8632.
Epoch 30: train_loss: 59.46; val_loss: 39.4065.
Epoch 31: train_loss: 58.34; val_loss: 39.4976.
Epoch 32: train_loss: 57.37; val_loss: 40.6887.
Epoch 33: train_loss: 56.42; val_loss: 40.0459.
Epoch 34: train_loss: 55.46; val_loss: 40.5358.
Epoch 35: train_loss: 54.60; val_loss: 39.5139.
Epoch 36: train_loss: 53.84; val_loss: 39.8648.
Epoch 37: train_loss: 52.84; val_loss: 40.9983.
Epoch 38: train_loss: 51.97; val_loss: 40.7821.
Epoch 39: train_loss: 51.09; val_loss: 40.0306.
Epoch 40: train_loss: 50.35; val_loss: 40.0137.
Epoch 41: train_loss: 49.57; val_loss: 40.6207.
Epoch 42: train_loss: 48.81; val_loss: 40.4207.
Epoch 43: train_loss: 48.07; val_loss: 41.0890.
Epoch 44: train_loss: 47.37; val_loss: 40.3497.
Epoch 45: train_loss: 46.73; val_loss: 42.1306.
Epoch 46: train_loss: 46.00; val_loss: 40.8607.
Epoch 47: train_loss: 45.45; val_loss: 40.5684.
Epoch 48: train_loss: 44.82; val_loss: 40.8140.
Epoch 49: train_loss: 44.25; val_loss: 41.0675.
Epoch 50: train_loss: 43.67; val_loss: 41.3344.
Epoch 51: train_loss: 43.04; val_loss: 41.6974.
Epoch 52: train_loss: 42.45; val_loss: 42.0013.
Epoch 53: train_loss: 41.98; val_loss: 41.9912.
Epoch 54: train_loss: 41.54; val_loss: 41.1694.
Epoch 55: train_loss: 40.96; val_loss: 42.1051.
Epoch 56: train_loss: 40.67; val_loss: 41.5674.
Epoch 57: train_loss: 40.11; val_loss: 41.5596.
Epoch 58: train_loss: 39.61; val_loss: 41.9922.
Epoch 59: train_loss: 39.16; val_loss: 42.3301.
Epoch 60: train_loss: 38.80; val_loss: 42.0945.
Epoch 61: train_loss: 38.46; val_loss: 42.3948.
Epoch 62: train_loss: 37.98; val_loss: 42.6093.
Epoch 63: train_loss: 37.59; val_loss: 42.9873.
Epoch 64: train_loss: 37.24; val_loss: 42.8655.
Epoch 65: train_loss: 36.96; val_loss: 42.5792.
Epoch 66: train_loss: 36.68; val_loss: 42.5871.
Epoch 67: train_loss: 36.29; val_loss: 43.0858.
Epoch 68: train_loss: 35.95; val_loss: 42.8851.
Epoch 69: train_loss: 35.65; val_loss: 43.9515.
Epoch 70: train_loss: 35.40; val_loss: 44.0002.
Epoch 71: train_loss: 35.03; val_loss: 42.8106.
Epoch 72: train_loss: 34.69; val_loss: 43.4685.
Epoch 73: train_loss: 34.37; val_loss: 43.2414.
Epoch 74: train_loss: 34.22; val_loss: 43.0704.
Epoch 75: train_loss: 33.89; val_loss: 43.4001.
Epoch 76: train_loss: 33.66; val_loss: 44.2754.
Epoch 77: train_loss: 33.40; val_loss: 43.9047.
Epoch 78: train_loss: 33.15; val_loss: 44.0427.
Epoch 79: train_loss: 32.93; val_loss: 44.4071.
Epoch 80: train_loss: 32.74; val_loss: 44.4902.
Epoch 81: train_loss: 32.47; val_loss: 43.2533.
Epoch 82: train_loss: 32.29; val_loss: 43.9270.
Epoch 83: train_loss: 32.13; val_loss: 44.2825.
