Epoch 1: train_loss: 8780.68; val_loss: 74.2836.
Epoch 2: train_loss: 136.19; val_loss: 66.6811.
Epoch 3: train_loss: 125.39; val_loss: 61.6916.
Epoch 4: train_loss: 117.53; val_loss: 59.0954.
Epoch 5: train_loss: 111.81; val_loss: 55.3312.
Epoch 6: train_loss: 107.10; val_loss: 54.1173.
Epoch 7: train_loss: 102.83; val_loss: 51.7049.
Epoch 8: train_loss: 99.32; val_loss: 51.7574.
Epoch 9: train_loss: 96.39; val_loss: 49.2792.
Epoch 10: train_loss: 93.37; val_loss: 48.1445.
Epoch 11: train_loss: 90.91; val_loss: 46.4166.
Epoch 12: train_loss: 88.40; val_loss: 46.7354.
Epoch 13: train_loss: 86.16; val_loss: 45.3163.
Epoch 14: train_loss: 84.11; val_loss: 44.0929.
Epoch 15: train_loss: 82.33; val_loss: 43.6380.
Epoch 16: train_loss: 80.46; val_loss: 43.9224.
Epoch 17: train_loss: 78.99; val_loss: 44.3256.
Epoch 18: train_loss: 77.55; val_loss: 42.2634.
Epoch 19: train_loss: 75.77; val_loss: 41.8796.
Epoch 20: train_loss: 74.34; val_loss: 41.9036.
Epoch 21: train_loss: 72.95; val_loss: 41.2800.
Epoch 22: train_loss: 71.70; val_loss: 41.5384.
Epoch 23: train_loss: 70.66; val_loss: 40.9109.
Epoch 24: train_loss: 69.34; val_loss: 41.3300.
Epoch 25: train_loss: 68.03; val_loss: 39.6829.
Epoch 26: train_loss: 67.07; val_loss: 40.3626.
Epoch 27: train_loss: 65.81; val_loss: 40.1090.
Epoch 28: train_loss: 64.62; val_loss: 38.9688.
Epoch 29: train_loss: 63.53; val_loss: 39.6487.
Epoch 30: train_loss: 62.68; val_loss: 38.9296.
Epoch 31: train_loss: 61.70; val_loss: 40.1803.
Epoch 32: train_loss: 60.81; val_loss: 40.8061.
Epoch 33: train_loss: 59.93; val_loss: 39.0175.
Epoch 34: train_loss: 58.86; val_loss: 39.4708.
Epoch 35: train_loss: 57.92; val_loss: 39.3374.
Epoch 36: train_loss: 57.12; val_loss: 39.1360.
Epoch 37: train_loss: 56.08; val_loss: 39.0286.
Epoch 38: train_loss: 55.30; val_loss: 39.0993.
Epoch 39: train_loss: 54.63; val_loss: 39.1366.
Epoch 40: train_loss: 53.73; val_loss: 40.7015.
Epoch 41: train_loss: 52.99; val_loss: 40.3457.
Epoch 42: train_loss: 52.08; val_loss: 39.0051.
Epoch 43: train_loss: 51.34; val_loss: 39.1554.
Epoch 44: train_loss: 50.56; val_loss: 39.8843.
Epoch 45: train_loss: 49.85; val_loss: 39.3921.
Epoch 46: train_loss: 49.19; val_loss: 40.3567.
Epoch 47: train_loss: 48.39; val_loss: 39.4299.
Epoch 48: train_loss: 47.93; val_loss: 40.6010.
Epoch 49: train_loss: 47.11; val_loss: 39.9899.
Epoch 50: train_loss: 46.59; val_loss: 39.9847.
Epoch 51: train_loss: 45.96; val_loss: 39.5757.
Epoch 52: train_loss: 45.24; val_loss: 39.8290.
Epoch 53: train_loss: 44.86; val_loss: 39.9039.
Epoch 54: train_loss: 44.18; val_loss: 40.8541.
Epoch 55: train_loss: 43.68; val_loss: 40.3802.
Epoch 56: train_loss: 43.28; val_loss: 40.0874.
Epoch 57: train_loss: 42.48; val_loss: 40.1126.
Epoch 58: train_loss: 42.12; val_loss: 40.2716.
Epoch 59: train_loss: 41.59; val_loss: 40.2642.
Epoch 60: train_loss: 41.13; val_loss: 40.2096.
Epoch 61: train_loss: 40.77; val_loss: 41.2133.
Epoch 62: train_loss: 40.30; val_loss: 40.4383.
Epoch 63: train_loss: 39.84; val_loss: 41.1419.
Epoch 64: train_loss: 39.49; val_loss: 41.0509.
Epoch 65: train_loss: 39.01; val_loss: 40.9361.
Epoch 66: train_loss: 38.65; val_loss: 42.6299.
Epoch 67: train_loss: 38.06; val_loss: 41.3150.
Epoch 68: train_loss: 37.84; val_loss: 41.3221.
Epoch 69: train_loss: 37.52; val_loss: 40.6138.
Epoch 70: train_loss: 37.29; val_loss: 41.7423.
Epoch 71: train_loss: 36.94; val_loss: 41.5746.
Epoch 72: train_loss: 36.46; val_loss: 41.9750.
Epoch 73: train_loss: 36.03; val_loss: 41.9327.
Epoch 74: train_loss: 35.82; val_loss: 41.9748.
Epoch 75: train_loss: 35.60; val_loss: 41.9343.
Epoch 76: train_loss: 35.23; val_loss: 42.6491.
Epoch 77: train_loss: 34.95; val_loss: 42.1022.
Epoch 78: train_loss: 34.69; val_loss: 42.1328.
Epoch 79: train_loss: 34.48; val_loss: 42.6402.
Epoch 80: train_loss: 34.15; val_loss: 42.4058.
Epoch 81: train_loss: 33.89; val_loss: 42.5953.
Epoch 82: train_loss: 33.59; val_loss: 43.6144.
Epoch 83: train_loss: 33.36; val_loss: 42.9214.
Epoch 84: train_loss: 33.24; val_loss: 43.6011.
Epoch 85: train_loss: 32.97; val_loss: 42.6589.
Epoch 86: train_loss: 32.70; val_loss: 43.6191.
Epoch 87: train_loss: 32.51; val_loss: 43.1572.
Epoch 88: train_loss: 32.34; val_loss: 43.4784.
Epoch 89: train_loss: 32.11; val_loss: 43.3362.
Epoch 90: train_loss: 31.89; val_loss: 43.2185.
Epoch 91: train_loss: 31.72; val_loss: 43.8907.
Epoch 92: train_loss: 31.46; val_loss: 44.7641.
Epoch 93: train_loss: 31.27; val_loss: 42.9351.
