Epoch 1: train_loss: 9350.71; val_loss: 73.3242.
Epoch 2: train_loss: 134.05; val_loss: 63.1139.
Epoch 3: train_loss: 122.32; val_loss: 60.2325.
Epoch 4: train_loss: 114.92; val_loss: 56.6242.
Epoch 5: train_loss: 109.53; val_loss: 53.8360.
Epoch 6: train_loss: 105.25; val_loss: 52.3136.
Epoch 7: train_loss: 101.66; val_loss: 51.6408.
Epoch 8: train_loss: 98.06; val_loss: 49.6486.
Epoch 9: train_loss: 95.19; val_loss: 47.4716.
Epoch 10: train_loss: 92.43; val_loss: 47.7456.
Epoch 11: train_loss: 90.00; val_loss: 46.9931.
Epoch 12: train_loss: 87.59; val_loss: 46.1738.
Epoch 13: train_loss: 85.49; val_loss: 45.3462.
Epoch 14: train_loss: 83.54; val_loss: 43.8948.
Epoch 15: train_loss: 81.60; val_loss: 43.5279.
Epoch 16: train_loss: 79.83; val_loss: 43.8314.
Epoch 17: train_loss: 78.14; val_loss: 41.7510.
Epoch 18: train_loss: 76.51; val_loss: 41.8889.
Epoch 19: train_loss: 75.17; val_loss: 41.4889.
Epoch 20: train_loss: 73.49; val_loss: 40.7385.
Epoch 21: train_loss: 72.05; val_loss: 41.1239.
Epoch 22: train_loss: 70.83; val_loss: 40.1962.
Epoch 23: train_loss: 69.62; val_loss: 40.8834.
Epoch 24: train_loss: 68.39; val_loss: 40.1253.
Epoch 25: train_loss: 67.21; val_loss: 39.7590.
Epoch 26: train_loss: 66.10; val_loss: 39.4764.
Epoch 27: train_loss: 65.10; val_loss: 39.5604.
Epoch 28: train_loss: 63.74; val_loss: 39.8619.
Epoch 29: train_loss: 62.76; val_loss: 39.4690.
Epoch 30: train_loss: 61.90; val_loss: 39.4831.
Epoch 31: train_loss: 60.85; val_loss: 40.1214.
Epoch 32: train_loss: 59.70; val_loss: 39.6106.
Epoch 33: train_loss: 58.67; val_loss: 39.5249.
Epoch 34: train_loss: 57.73; val_loss: 39.3693.
Epoch 35: train_loss: 56.66; val_loss: 39.4262.
Epoch 36: train_loss: 56.05; val_loss: 39.8113.
Epoch 37: train_loss: 55.11; val_loss: 40.2800.
Epoch 38: train_loss: 54.37; val_loss: 39.2249.
Epoch 39: train_loss: 53.48; val_loss: 39.0228.
Epoch 40: train_loss: 52.83; val_loss: 39.3300.
Epoch 41: train_loss: 51.87; val_loss: 39.8253.
Epoch 42: train_loss: 51.34; val_loss: 39.9983.
Epoch 43: train_loss: 50.41; val_loss: 39.5249.
Epoch 44: train_loss: 49.79; val_loss: 40.4113.
Epoch 45: train_loss: 49.10; val_loss: 40.1618.
Epoch 46: train_loss: 48.45; val_loss: 40.2757.
Epoch 47: train_loss: 47.78; val_loss: 39.8151.
Epoch 48: train_loss: 47.14; val_loss: 40.3261.
Epoch 49: train_loss: 46.49; val_loss: 40.7428.
Epoch 50: train_loss: 45.90; val_loss: 40.9387.
Epoch 51: train_loss: 45.27; val_loss: 40.8060.
Epoch 52: train_loss: 44.87; val_loss: 40.5572.
Epoch 53: train_loss: 44.27; val_loss: 40.9034.
Epoch 54: train_loss: 43.69; val_loss: 40.3235.
Epoch 55: train_loss: 42.99; val_loss: 40.8584.
Epoch 56: train_loss: 42.69; val_loss: 41.2750.
Epoch 57: train_loss: 42.26; val_loss: 40.9798.
Epoch 58: train_loss: 41.60; val_loss: 40.8168.
Epoch 59: train_loss: 41.26; val_loss: 41.3493.
Epoch 60: train_loss: 40.68; val_loss: 40.9447.
Epoch 61: train_loss: 40.23; val_loss: 41.2107.
Epoch 62: train_loss: 39.95; val_loss: 40.8850.
Epoch 63: train_loss: 39.45; val_loss: 42.1051.
Epoch 64: train_loss: 39.08; val_loss: 41.6082.
Epoch 65: train_loss: 38.73; val_loss: 42.3281.
Epoch 66: train_loss: 38.36; val_loss: 41.5981.
Epoch 67: train_loss: 37.96; val_loss: 42.1114.
Epoch 68: train_loss: 37.73; val_loss: 42.4683.
Epoch 69: train_loss: 37.30; val_loss: 42.8162.
Epoch 70: train_loss: 36.99; val_loss: 42.1764.
Epoch 71: train_loss: 36.61; val_loss: 41.9421.
Epoch 72: train_loss: 36.38; val_loss: 42.8241.
Epoch 73: train_loss: 36.06; val_loss: 42.7148.
Epoch 74: train_loss: 35.62; val_loss: 42.6724.
Epoch 75: train_loss: 35.42; val_loss: 42.9923.
Epoch 76: train_loss: 35.13; val_loss: 43.0945.
Epoch 77: train_loss: 34.82; val_loss: 42.8209.
Epoch 78: train_loss: 34.61; val_loss: 42.9326.
Epoch 79: train_loss: 34.31; val_loss: 43.5424.
Epoch 80: train_loss: 34.08; val_loss: 43.4470.
Epoch 81: train_loss: 33.77; val_loss: 44.4001.
Epoch 82: train_loss: 33.52; val_loss: 43.9025.
Epoch 83: train_loss: 33.35; val_loss: 43.4978.
