Epoch 1: train_loss: 9331.95; val_loss: 74.7982.
Epoch 2: train_loss: 137.60; val_loss: 67.6157.
Epoch 3: train_loss: 125.37; val_loss: 61.1311.
Epoch 4: train_loss: 116.59; val_loss: 58.1601.
Epoch 5: train_loss: 110.70; val_loss: 54.6940.
Epoch 6: train_loss: 105.88; val_loss: 54.0951.
Epoch 7: train_loss: 101.97; val_loss: 51.1980.
Epoch 8: train_loss: 98.56; val_loss: 50.6766.
Epoch 9: train_loss: 95.38; val_loss: 48.6277.
Epoch 10: train_loss: 92.67; val_loss: 46.8771.
Epoch 11: train_loss: 90.19; val_loss: 46.1436.
Epoch 12: train_loss: 87.90; val_loss: 46.5111.
Epoch 13: train_loss: 85.99; val_loss: 44.3920.
Epoch 14: train_loss: 84.01; val_loss: 43.9516.
Epoch 15: train_loss: 82.09; val_loss: 42.9090.
Epoch 16: train_loss: 80.38; val_loss: 42.8459.
Epoch 17: train_loss: 78.56; val_loss: 43.2142.
Epoch 18: train_loss: 77.16; val_loss: 42.3694.
Epoch 19: train_loss: 75.67; val_loss: 41.9900.
Epoch 20: train_loss: 74.36; val_loss: 41.6060.
Epoch 21: train_loss: 72.89; val_loss: 42.2021.
Epoch 22: train_loss: 71.73; val_loss: 41.3372.
Epoch 23: train_loss: 70.50; val_loss: 40.1375.
Epoch 24: train_loss: 69.29; val_loss: 41.1259.
Epoch 25: train_loss: 68.18; val_loss: 40.3777.
Epoch 26: train_loss: 67.00; val_loss: 39.9302.
Epoch 27: train_loss: 65.95; val_loss: 39.6748.
Epoch 28: train_loss: 64.95; val_loss: 39.8584.
Epoch 29: train_loss: 63.86; val_loss: 40.2440.
Epoch 30: train_loss: 62.74; val_loss: 39.2055.
Epoch 31: train_loss: 61.65; val_loss: 39.7467.
Epoch 32: train_loss: 60.80; val_loss: 39.4415.
Epoch 33: train_loss: 59.92; val_loss: 39.1674.
Epoch 34: train_loss: 59.06; val_loss: 41.0617.
Epoch 35: train_loss: 58.06; val_loss: 38.6112.
Epoch 36: train_loss: 57.16; val_loss: 39.1629.
Epoch 37: train_loss: 56.19; val_loss: 39.3913.
Epoch 38: train_loss: 55.57; val_loss: 40.0561.
Epoch 39: train_loss: 54.62; val_loss: 39.1064.
Epoch 40: train_loss: 53.83; val_loss: 39.4416.
Epoch 41: train_loss: 53.05; val_loss: 39.1268.
