Epoch 1: train_loss: 9125.60; val_loss: 55.9275.
Epoch 2: train_loss: 104.63; val_loss: 49.1425.
Epoch 3: train_loss: 95.70; val_loss: 46.2456.
Epoch 4: train_loss: 90.29; val_loss: 43.7015.
Epoch 5: train_loss: 86.23; val_loss: 42.2389.
Epoch 6: train_loss: 82.77; val_loss: 41.9610.
Epoch 7: train_loss: 80.11; val_loss: 40.3685.
Epoch 8: train_loss: 77.79; val_loss: 38.7557.
Epoch 9: train_loss: 75.70; val_loss: 38.4498.
Epoch 10: train_loss: 74.03; val_loss: 38.2069.
Epoch 11: train_loss: 72.46; val_loss: 37.5208.
Epoch 12: train_loss: 70.94; val_loss: 36.9241.
Epoch 13: train_loss: 69.66; val_loss: 36.5945.
Epoch 14: train_loss: 68.47; val_loss: 36.2455.
Epoch 15: train_loss: 67.30; val_loss: 36.2411.
Epoch 16: train_loss: 66.07; val_loss: 35.9829.
Epoch 17: train_loss: 65.15; val_loss: 35.6720.
Epoch 18: train_loss: 64.20; val_loss: 35.3649.
Epoch 19: train_loss: 63.07; val_loss: 34.6215.
Epoch 20: train_loss: 62.10; val_loss: 34.9522.
Epoch 21: train_loss: 61.07; val_loss: 34.3348.
Epoch 22: train_loss: 60.23; val_loss: 34.4821.
Epoch 23: train_loss: 59.46; val_loss: 34.3449.
Epoch 24: train_loss: 58.61; val_loss: 34.0503.
Epoch 25: train_loss: 57.84; val_loss: 34.2013.
Epoch 26: train_loss: 56.96; val_loss: 34.1412.
Epoch 27: train_loss: 56.00; val_loss: 33.8984.
Epoch 28: train_loss: 55.45; val_loss: 33.9074.
Epoch 29: train_loss: 54.64; val_loss: 34.1403.
Epoch 30: train_loss: 53.97; val_loss: 34.1299.
Epoch 31: train_loss: 53.16; val_loss: 34.5047.
Epoch 32: train_loss: 52.55; val_loss: 34.4523.
Epoch 33: train_loss: 51.82; val_loss: 34.4604.
Epoch 34: train_loss: 51.04; val_loss: 34.4534.
Epoch 35: train_loss: 50.40; val_loss: 34.8191.
Epoch 36: train_loss: 49.79; val_loss: 34.5105.
Epoch 37: train_loss: 48.95; val_loss: 34.3385.
Epoch 38: train_loss: 48.39; val_loss: 34.7686.
Epoch 39: train_loss: 47.62; val_loss: 34.5188.
Epoch 40: train_loss: 47.17; val_loss: 34.6126.
Epoch 41: train_loss: 46.42; val_loss: 35.1229.
Epoch 42: train_loss: 45.90; val_loss: 34.8703.
Epoch 43: train_loss: 45.35; val_loss: 35.1080.
Epoch 44: train_loss: 44.79; val_loss: 35.4007.
Epoch 45: train_loss: 44.11; val_loss: 35.2968.
Epoch 46: train_loss: 43.59; val_loss: 35.4373.
Epoch 47: train_loss: 43.14; val_loss: 34.9430.
Epoch 48: train_loss: 42.61; val_loss: 35.6806.
Epoch 49: train_loss: 42.15; val_loss: 35.6598.
Epoch 50: train_loss: 41.77; val_loss: 36.4109.
Epoch 51: train_loss: 41.07; val_loss: 36.1818.
Epoch 52: train_loss: 40.66; val_loss: 36.5084.
Epoch 53: train_loss: 40.26; val_loss: 35.8110.
Epoch 54: train_loss: 39.77; val_loss: 36.1106.
Epoch 55: train_loss: 39.21; val_loss: 36.1945.
Epoch 56: train_loss: 38.87; val_loss: 36.5052.
Epoch 57: train_loss: 38.55; val_loss: 36.0268.
Epoch 58: train_loss: 37.97; val_loss: 36.4392.
Epoch 59: train_loss: 37.81; val_loss: 37.0466.
Epoch 60: train_loss: 37.51; val_loss: 36.6520.
Epoch 61: train_loss: 37.02; val_loss: 36.5018.
Epoch 62: train_loss: 36.65; val_loss: 36.8968.
Epoch 63: train_loss: 36.33; val_loss: 36.8927.
Epoch 64: train_loss: 36.00; val_loss: 37.3216.
Epoch 65: train_loss: 35.61; val_loss: 37.0803.
Epoch 66: train_loss: 35.34; val_loss: 37.7309.
Epoch 67: train_loss: 35.03; val_loss: 37.3112.
Epoch 68: train_loss: 34.82; val_loss: 36.7113.
Epoch 69: train_loss: 34.50; val_loss: 37.1836.
Epoch 70: train_loss: 34.19; val_loss: 37.4989.
Epoch 71: train_loss: 33.93; val_loss: 37.3699.
Epoch 72: train_loss: 33.82; val_loss: 37.4850.
Epoch 73: train_loss: 33.38; val_loss: 37.5342.
Epoch 74: train_loss: 33.23; val_loss: 37.8644.
Epoch 75: train_loss: 32.89; val_loss: 37.2075.
Epoch 76: train_loss: 32.58; val_loss: 37.6038.
Epoch 77: train_loss: 32.47; val_loss: 38.0880.
Epoch 78: train_loss: 32.28; val_loss: 37.8985.
Epoch 79: train_loss: 32.11; val_loss: 37.6179.
Epoch 80: train_loss: 31.84; val_loss: 37.9325.
Epoch 81: train_loss: 31.55; val_loss: 38.2337.
Epoch 82: train_loss: 31.42; val_loss: 38.3013.
Epoch 83: train_loss: 31.25; val_loss: 38.1750.
Epoch 84: train_loss: 31.00; val_loss: 38.4454.
Epoch 85: train_loss: 30.77; val_loss: 38.5687.
Epoch 86: train_loss: 30.73; val_loss: 38.6770.
Epoch 87: train_loss: 30.35; val_loss: 38.5417.
Epoch 88: train_loss: 30.21; val_loss: 38.4960.
Epoch 89: train_loss: 30.15; val_loss: 38.3031.
Epoch 90: train_loss: 29.90; val_loss: 38.6888.
Epoch 91: train_loss: 29.79; val_loss: 38.5643.
Epoch 92: train_loss: 29.57; val_loss: 38.8273.
Epoch 93: train_loss: 29.43; val_loss: 38.8551.
Epoch 94: train_loss: 29.27; val_loss: 38.9714.
Epoch 95: train_loss: 29.23; val_loss: 38.3989.
Epoch 96: train_loss: 28.99; val_loss: 38.9562.
Epoch 97: train_loss: 28.84; val_loss: 39.0212.
Epoch 98: train_loss: 28.71; val_loss: 39.3445.
Epoch 99: train_loss: 28.62; val_loss: 38.4751.
Epoch 100: train_loss: 28.42; val_loss: 39.7237.
Epoch 101: train_loss: 28.34; val_loss: 39.2832.
Epoch 102: train_loss: 28.07; val_loss: 38.9469.
Epoch 103: train_loss: 28.15; val_loss: 38.8906.
Epoch 104: train_loss: 27.93; val_loss: 38.9780.
Epoch 105: train_loss: 27.77; val_loss: 39.3821.
Epoch 106: train_loss: 27.72; val_loss: 39.2826.
Epoch 107: train_loss: 27.66; val_loss: 39.2196.
Epoch 108: train_loss: 27.52; val_loss: 39.5954.
Epoch 109: train_loss: 27.36; val_loss: 39.2327.
Epoch 110: train_loss: 27.25; val_loss: 39.1353.
Epoch 111: train_loss: 27.08; val_loss: 39.1522.
Epoch 112: train_loss: 27.06; val_loss: 39.3935.
Epoch 113: train_loss: 26.92; val_loss: 39.6392.
Epoch 114: train_loss: 26.82; val_loss: 39.3460.
Epoch 115: train_loss: 26.73; val_loss: 39.2334.
Epoch 116: train_loss: 26.56; val_loss: 39.3170.
Epoch 117: train_loss: 26.58; val_loss: 39.3043.
